Item Name,NS ID,Comment 1,Comment 2,Comment 3,Comment 4,Comment 5,Comment 6,Comment 7,Comment 8,Comment 9,Comment 10,Comment 11,Comment 12,Comment 13,Comment 14,Comment 15,Comment 16,Comment 17,Comment 18,Comment 19,Comment 20
G19197IMPERIALB,1548,*,ITEM:   BREAD MARKET,*,GRADE:  35 LB BLEACHED KRAFT WET STRENGTH,*,COATING: DRY WAX TO 42 LB FINISH,*,SIZE:  12 X 15" SHEETS,*,PACK: USE PLAIN INNERS & OUTERS STACK ON PALLETS,*,LABEL: ITEM SIZE QTY,*,PRINT: PRINT FLEXO GREEN BLACK MATCH CUSTOMER SAMPLE,*,END USE: FOOD WRAP,*,,,,
G21447 MCNAIRN,1665,*,GRADE: 35 LB BLEACHED KRAFT,*,COATING: WET WAX TO 50 LB FINISH,*,SIZE: 20" WIDTH ROLLS,*,PACK: 1 ROLL PER POLY BAG STACK ON PALLETS,*,LABEL: USE CUSTOMERS LABEL 1 PER ROLL P/N 104767,*,END USE:  CANDY LAYOUT SHEET,*,,,,,,,,
G19198IMPERIALB,1549,*,GRADE:   45LB COATED KRAFT,*,COATING: WET WAX TO 53# FINISH,*,SIZE:  15" WIDTH ROLLS,*,PACK: 1 ROLL SHRINK WRAPPED 66 PER PALLET,*,LABEL:15" WET WAX 1000 FT UPC NO. ON LABEL 787879001,*,REWIND: 1000 FEET PER ROLL 3" CORE,*,END USE: FOOD WRAP,*,,,,,,
G22480 NEWROCH,1773,*,ITEM:  AVENUE DELI,*,GRADE: 40 LB BLEACHED KRAFT WET STRENGTH,*,COATING: NONE,*,SIZE: 14 X 18" SHEETS,*,PACK: 40LBS PER CTN   USE CTN D-4,*,LABEL: ITEM SIZE QTY,*,PRINT: PRINT FLEXO NAVY BLUE,*,END USE FOOD WRAP,*,,,,
G22481 NEWROCH,1774,*,ITEM:   "AVENUE DELI",*,GRADE:  40 LB BLEACHED KRAFT WET STRENGTH,*,COATING: NONE,*,SIZE: 15" ROLL,*,PACK: SHRINK WRAP EACH ROLL STACK ON PALLETS,*,LABEL: ITEM SIZE QTY,*,PRINT: PRINT FLEXO NAVY BLUE,*,REWIND: N-2  15" WIDTH 3" CORE 1000 FT PER ROLL,*,END USE: FOOD WRAP,*,,
F1824MG40,4093,35 LB MG PACK 38.5 LBS PER CS,,,,,,,,,,,,,,,,,,,,
F1520TWB,1080,USE TRUE WHITE BUTCHER ONLY PACK 48.5 LBS PER CASE,*,,,,,,,,,,,,,,,,,,,
F1824TWB,1135,USE TRUE WHITE BUTCHER ONLY PACK 48.5 LBS PER CASE,*,,,,,,,,,,,,,,,,,,,
F15TWB,1057,USE TRUE WHITE BUTCHER REWIND TO 15 LBS PER ROLL GROSS,*,,,,,,,,,,,,,,,,,,,
F18TWB,1110,USE TRUE WHITE BUTCHER ONLY REWIND 18 LBS /RL GROSS,*,,,,,,,,,,,,,,,,,,,
F30TWB,1197,USE TRUE WHITE BUTCHER ONLY REWIND TO 30 LBS/RL GROSS,*,,,,,,,,,,,,,,,,,,,
F36TWB,1210,USE TRUE WHITE BUTCHER ONLY REWIND TO 36 LBS/RL GROSS,*,,,,,,,,,,,,,,,,,,,
F15PEACH,1053,40# PEACH REWIND 1000 FT PER ROLL,*,,,,,,,,,,,,,,,,,,,
F18PEACH,1107,USE 40 LB PEACH REWIND 1000 FT/RL,*,,,,,,,,,,,,,,,,,,,
F24PEACH,1159,USE 40 LB PEACH REWIND 1000 FT/RL,,,,,,,,,,,,,,,,,,,,
F12TWB,997,USE TRUE WHITE BUTCH REWIND 12 LBS PER ROLL TAN LABEL,,,,,,,,,,,,,,,,,,,,
G20850 LOYAL,4045,*,ITEM:      MEATERIA,*,GRADE:     40# STAYNLESS ONLY,*,COATING: AS IS  NO WAX,*,SIZE:    15 X 20" SHEETS,*,PACK:   50 LB BULK CARTONS,*,LABEL:   ITEM SIZE QTY NO NORPAK NAME TO APPEAR,*,PRINTING: FLEXO MATCH SAMPLE RED GREEN,*,END USE: FOOD WRAP NEEDS HOLD OUT,*,,,,
G20851 LOYAL,4046,*,ITEM:       "MEATERIA",*,GRADE:  40# STAYNLESS ONLY,*,COATING:  AS IS NO WAX,*,SIZE: 15 X 10" SHEETS,*,PACK:  50 LBS PER CTN BULK,*,LABEL: ITEM SIZE QTY. NORPAK NAME NOT TO APPEAR,*,PRINTING: FLEXO MATCH CUSTOMER SAMPLE RED & GREEN,*,END USE:  FOOD WRAP NEED HOLD OUT,*,,,,
F24TWB,1161,USE TRUE WHITE BUTCHER REWIND 24 LBS PER ROLL,USE TAN LABELS ONLY,,,,,,,,,,,,,,,,,,,
G21444 MCNAIRN,1664,*,GRADE:  35 LB BLEACHED KRAFT,*,COATING:  WET WAX TO 53 # FINISH DELWRAP STYLE,*,SIZE: 32" WIDTH ROLL,*,PACK: 1 ROLL SHRINK WRAP STACK ON PALLETS,*,LABEL: USE CUSTOMER LABEL 1 PER ROLL P/N 104831,*,REWIND: 1000 FT PER ROLL 3" CORE,*,END USE: FOOD LAY OUT SHEET,*,,,,,,
F1218TWB,1026,USE TRUE WHITE BUTCHER  PACK 48.5 LBS/CS USE TAN LABEL,*,,,,,,,,,,,,,,,,,,,
G21928 MU,1754,*,GRADE:  35 LB BOND KRAFT,*,COATING: AS IS,*,SIZE: 15" WIDTH ROLLS,*,PACK: SHRINK WRAP ON PALLETS,*,LABEL: "15 WHITE MG"  (NO OTHER MARKINGS),*,REWIND: APPROX 750 FT. PER ROLL 3" CORE,*,END USE: FOOD WRAP,*,,,,,,
G11730 BORAX,1307,*,ITEM:           "ACME SMOKED FISH",*,GRADE: 40 LB WHITE BUTCHER   BL KFT,*,COATING: AS IS  NO WAX,*,SIZE:  15 X 20" SHEETS NORMAL SHEET TOLERANCE,*,PACK: 50 LBS BULK IN PT CTN 40CS (MUST) PER PALLET,*,LABEL: ITEM SIZE QTY,*,PRINT: PRINT FLEXO BROWN 17-1/4" CYL#23,INK FORMULA 2 GAL.STD BROWN 1-1/2 GAL YELLOW 1 GAL STD,BLACK,*,END USE: FRESH FISH WRAP,*,,
G19194IMPERIALB,1545,*,GRADE: 35 LB BLEACHED KRAFT,*,COATING: WET WAX DELWRAP STYLE,*,SIZE:  9 X 16" SHEETS,*,PACK: BULK PACK 3M SHEETS IN 18X18 MN CTN,*,LABEL: ITEM SIZE NUMBER OF 1000 SHEETS MUST HAVE UPC,CODE ON ALL LABELS 1078787900164,*,END USE: CHOCOLATE CANDY BOX LINER,*,,,,,,,
G19195IMPERIALB,1546,*,GRADE: 35 LB BLEACHED KRAFT,*,COATING: WET WAX TO 50# FINISH DELWRAP STYLE,*,SIZE:  5 X 10" SHEETS,*,PACK: BULK IN 15X20MN CTS 10000 SHEETS,*,LABEL: ITEM SIZE NUMBER OF 1000 SHEETS MUST HAVE UPC,CODE NUMBER ON ALL LABELS 1078787900163,*,END USE: CHOCOLATE CANDY BOX LINER,*,,,,,,,
G25310RUSSELWIL,1882,*,ITEM:      "FRESH & TASTY",*,GRADE: 18 LB BLEACHED KRAFT WET STRENGTH,*,COATING: DRY WAX ON MF SIDE TO 21 LB LIGHTNING  STYLE,*,SIZE: 6 X 10-3/4" INTERFOLDED SHEETS,*,PACK: INTERFOLD 500 SHEETS PER LOGAN INNER 12 PER CTN,SHEETS MUST READ IN SAME DIRECTION WHEN INTERFOLDED,LABEL: STATOIL "FRESH & TASTY",*,PRINT: FLEXO PMS 1235 ON MG SIDE,*,END USE: SANITARY FOOD WRAP,,,,,
G26025 SI,4097,*,GRADE:  35 LB BLEACHED KRAFT,*,COATING:  WET WAX TO 53 LB FINISH DELWRAP STYLE,*,SIZE: 3 CUTS 7-1/2 X24" 1 CUT 11-1/2X24" OUT OF STOCK,24X36" SHEETS,*,PACK: USE 18 X 24" CTN,*,LABEL: ITEM SIZES QTY,*,END USE: FOOD WRAP,*,,,,,,,
G26026 SI,4098,*,GRADE: 35 LB BLEACHED KRAFT,*,COATING: WET WAX TO 53 LB FINISH  DELWRAP STYLE,*,SIZE: 11-1/2 X 24" SHEETS,*,PACK:  CUT FROM 24 X 36" STOCK TO 11-1/2X24 PACK IN,18 X 24" CTN,*,LABEL: ITEM SIZE QTY,*,END USE: FOOD WRAP,*,,,,,,,
G13646 CRAINE,1415,*,ITEM:     " MR. PITA",*,GRADE:  17 LB CLIFFORD STOCK 45"(DO NOT USE BURROWS ),*,COATING: DRY WAX TO 19 LBS SAME AS SAMPLE,*,SIZE: 15 X 17" SHEETS,*,PACK: 3000 SHEETS BULK IN CTN,*,LABEL:  "MR. PITA",15 X 17" SANDWICH WRAP,3000 SHEETS,*,PRINT: FLEXO BLACK YELLOW 14.25" CYLINDER,*,END USE: FOOD WRAP,*,NOTE; DO NOT REVERSE INDIVIDUAL ROLLS FOR SHEETING.,
G20114 LANCA,1641,*,ITEM:    "APACHE",*,GRADE: 15 LB WET STRENGTH BLEACHED KRAFT,*,COATING: DRY WAX LOGAN STYLE,*,SIZE: 6 X 10-3/4" INTERFOLDED,*,PACK: PACK IN LOGAN INNERS & OUTERS ON PALLETS,*,LABEL: " APACHE "  SIZE QTY,*,PRINT: PRINT FLEXO PMS 032U RED  17.25 CYLINDER SIZE.,*,END USE: PIZZA SHEET,,,,,
G10380 ALLIED,3988,*,GRADE:  33 LB PRECOAT AS PER APPROVED SAMPLE DO NOT,SUBSTITUTE,*,COATING:  AS IS,*,SIZE: 9.25 X 16.25 IN SHEETS + OR - 1/8",*,PACK:  50 LB BULK IN CTNS,*,LABEL: ITEM SIZE QTY,*,END USE: PACKAGE SEPARATER NO FOOD CONTACT,*,,,,,,,
G10381 ALLIED,1245,*,GRADE: 25 LB BL KRAFT WITH WET STRENGTH,*,COATING: WET WAX TO 38 LB FINISH WITH SHEET FORMULA,*,SIZE: 9.25 X 16.25 IN SHEETS + OR - 1/8",*,PACK: 50 LBS PER CTN BULK,*,LABEL: ITEM SIZE 4000 SHEETS,*,END USE: MEAT INTERLEAVER FRESH THEN FROZEN,*,,,,,,,,
G19193IMPERIALB,1544,*,ITEM:   PANINI PRINT,*,GRADE:  35 LB WET STRENGTH BLEACHED KRAFT,*,COATING: DRY WAX TO 42# FINISH,*,SIZE:  15 X 15" SHEETS,*,PACK:  PACK 50 LBS. PER PLAIN CTN,*,LABEL: ITEM SIZE QTY UPC#78787900173  MUST APPEAR ON,LABEL,*,PRINT: FLEXO PMS 214U MAROON PMS 108U YELLOW,*,END USE: FOOD WRAP,*,,,
G21442 MCNAIRN,1663,*,GRADE: 30 LB  BLEACHED KRAFT,*,COATING:  WET WAX T0 40 LB FINISH MICA STYLE,*,SIZE: 24" WIDTH ROLL,*,PACK: 1 ROLL SHRINK WRAPPED STACK ON PALLETS,*,LABEL: USE CUSTOMER LABEL P/N 104594,*,REWIND: 1200 FT/ RL 3" CORE,*,END USE: FOOD WRAP,*,,,,,,
G12260 CDAY,1368,*,ITEM:         "CATCH OF THE DAY",*,GRADE:      40/45# POLY COATED ONE SIDE,*,COATING: AS IS,*,SIZE:  18" WIDTH ROLLS,*,PACK: 1 ROLL SHRINK WRAPPED STACK ON PALLETS,*,LABEL:   ITEM SIZE QTY UPC # 78787900183,*,PRINT: FLEXO BLUE MATCH SAMPLE,*,REWIND: N-1 1000 FT PER ROLL 3" CORE,*,END USE: FISH WRAP,*,,
G21716MOONEYGEN,1733,*,GRADE:    25 LB QUILON,*,COATING: AS IS,*,SIZE:  15.5 X 21" SHEETS,*,PACK:   TAKE FROM STOCK OR SHORT CUTS PACK IN 25Q1M C,*,LABEL: ITEM SIZE QTY,*,END USE: BAKING PAN LINER,*,,,,,,,,
G10879 ATLAS,1271,*,GRADE:     35 LB BLEACHED KRAFT,*,COATING:  WET WAX TO 50 LB FINISH DELWRAP STYLE,*,SIZE:  8 X 8" SHEETS,*,PACK:  50 LBS BULK CTNS,*,LABEL: ITEM SIZE QTY,*,END USE: FOOD SEPARATOR,,,,,,,,,
G21929 MU,1755,*,GRADE:    40 LB BL KFT,*,COATING:  AS IS,*,SIZE:  18" WIDTH ROLLS,*,PACK: 1 ROLL SHRINK WRAPPED,*,LABEL:     18" WHITE BUTCHER   (WHITE LABEL),*,REWIND:   900 FT PER ROLL 3" CORE,*,END USE: FOOD WRAP,*,,,,,,
G21875 MSTAR,4053,*,GRADE:   40 LB BLEACHED KRAFT IPMC,*,COATING:  AS IS,*,SIZE:   28" X 28" SHEETS,*,PACK:  500 SHEETS PER BDL (36LBS),*,LABEL:  ITEM SIZE QTY.,*,END USE: TABLE COVERS,*,,,,,,,,
G21876 MSTAR,4054,*,GRADE:    40 LB BLEACHED KRAFT IPMC,*,COATING: AS IS,*,SIZE:  26 X 42" SHEETS,*,PACK: 250 SHEETS PER BDL,*,LABEL: ITEM SIZE QTY,*,END USE:  TABLE COVERS,*,,,,,,,,
G17210 GOLDMAN,1465,*,ITEM:         "BOAR'S HEAD",*,GRADE:         18/20 LB CLEARWATER WAX POLY BLEND,*,COATING:       AS IS,*,SIZE:          14 X 18" SHEETS,*,PACK:          1800 SHEETS BULK IN CARTON,*,LABEL:         ITEM SIZE QTY BOAR'S HEAD,*,PRINTING:     PRINT FLEXO ON PAPER SIDE RED BLACK MAT,CUSTOMER SAMPLE,*,END USE:      FOOD WRAP,*,,,
G14525 ERB,1426,*,GRADE: 35/40# POLY COATED ONE SIDE,*,COATING:  AS IS,*,SIZE:  13 X 10-1/2"  SHEETS,*,PACK: PLAIN BOXES NO LABELS NO MARKINGS 50#/CS,*,LABEL:  NO LABELS,*,END USE: NOODLE WRAP,*,NOTE: BILL OF LADING TO READ ERG AS SHIPPER NOT NORPA,*,,,,,,
G22034 NBTY,1759,*,GRADE:  25 LB QUILON FDA WAUSAU/J MAINE OR COPAMEX ON,*,COATING: AS IS,*,SIZE:  28-3/4 X 23" SHEETS,*,PACK: 1500 SHEETS PER CTN STACK ON 40 X 48" PALLETS,*,LABEL:  ITEM SIZE QTY PROD # 61-99900 P.O.#,*,END USE: PILL LAY OUT SHEET,*,,,,,,,,
G19802 JUMBO,4043,*,ITEM:       "SUSIE'S KITCHEN",*,GRADE:      15/18# EXCEL POLY ONE SIDE,*,COATING:    AS IS,*,SIZE:       12 X 15" SHEETS,*,PACK:  1000 SHEETS PER SHRINK PG. 6 PGS. PER CTN,*,PRINT: FLEXO PMS 202U RED RANDOM USE 18" CYLINDER,*,LABEL: ITEM SIZE QTY,*,END USE:  SANDWICH WRAPPER,*,,,,
G11732 BORAX,4003,*,ITEM:    "LENNY'S",*,GRADE:    40 LB BLEACHED MG,*,COATING: NONE,*,SIZE:    15" WIDTH ROLLS,*,PACK:   SHRINK WRAP EACH ROLL STACK ON PALLETS,*,LABEL:  ITEM SIZE QTY UPC 78787900227,*,PRINT:  FLEXO PMS 281 BLUE 124 MUSTARD 16" CYLINDER,*,REWIND: N-2 1000FT/RL 3" CORE,*,END USE:  FOOD WRAP,*,,
G23158 PAPERCON,1791,*,ITEM:   QF 8,*,GRADE: 15 LB WET STRENGTH BLEACHED KRAFT,*,COATING: DRY WAX TO 17 LB FINISH,*,SIZE: 8 X 10-3/4" INTERFOLDED SHEETS,*,PACK: USE CUSTOMER CARTONS INNERS & OUTERS 12CS PER,LAYER 5 HIGH 60 CS PER PALLET STRETCH WRAP PALLETS,WELL FOR OUTSIDE TRUCK SHIPMENTS,*,LABEL:  P.O.# & CUSTOMER CODE# QF8 P/N 011008 PALLET,FLAG ONLY,END USE: FOOD WRAP MUST TAPE,*,,,,
G23145PALISADES,1782,*,GRADE:  35 LB SILICONE,*,COATING: AS IS,*,SIZE:   6-1/2 X 6-1/2"  SHEETS,*,PACK:  50 LBS BULK PER CTN,*,LABEL: ITEM SIZE QTY NEED STAR K LABEL,*,END USE:   BAKING SHEETS,,,,,,,,,
G23146PALISADES,1783,*,GRADE:  35 LB SILICONE,*,COATING:  AS IS,*,SIZE:  5-1/2 X 10-1/2" SHEETS,*,PACK: 50 LBS BULK PER CARTON,*,LABEL: ITEM SIZE QTY NEED STAR K LABEL,*,END USE:  BAKING SHEET,*,,,,,,,,
G23147PALISADES,1784,*,GRADE:  35 LB SILICONE,*,COATING:  AS IS,*,SIZE:  12 X 16"   SHEETS,*,PACK:   50 LBS BULK IN CARTON,*,LABEL: ITEM SIZE QTY  NEED STAR K LABEL,*,END USE:   BAKING SHEET,*,,,,,,,,
G23148PALISADES,1785,*,GRADE:   25 LB QUILON,*,COATING:  AS IS,*,SIZE:  20" WIDTH ROLLS,*,PACK: 1 ROLL PER POLY BAG,*,LABEL: ITEM  SIZE QTY NEED STAR K LABEL,*,REWIND:  12" OD 3" CORE,*,END USE: BAKING SHEET,*,,,,,,
G27140 SWP,1933,*,ITEM:      "DI BRUNO'S",*,GRADE:    40/45# POLY COATED ONE SIDE,*,COATING: AS IS,*,SIZE:    18" WIDTH ROLLS,*,PACK:    1 ROLL SHRINK WRAPPED,*,LABEL:   ITEM SIZE QTY 1000 FT./RL,*,PRINTING:  FLEXO BLACK 23-1/2" CYLINDER,*,REWIND:    N-2 1000 FT/ ROLL  3"CORE,*,END USE:   MEAT WRAPPER,*,,
G27141 SWP,1934,*,ITEM:      "DI BRUNO'S",*,GRADE:    40/45# POLY COATED ONE SIDE BLEACHED KRAFT,*,COATING:   AS IS,*,SIZE:    15.75 X 18" SHEETS,*,PACK:  25 LBS PER CTN OR BDL USE 18X18 MCNAIRN & CUT,*,LABEL:   ITEM SIZE QTY,*,PRINTING:  FLEXO BLACK 23.5" CYLINDER,*,END USE:   MEAT WRAPPER,*,,,,
G20985 MS,4051,*,GRADE:  40 LB. PEACH,*,COATING:  AS IS,*,SIZE:    28 X 28" SHEETS,*,PACK:  250 SHEETS PER BDL (18LBS) STACK ON PALLETS,*,LABEL: ITEM SIZE QTY,*,END USE:   TABLE COVER,,,,,,,,,
G20986 MS,4052,*,GRADE:  40 LB PEACH,*,COATING:   AS IS,*,SIZE:  34 X 34"  SHEETS,*,PACK:  250 SHEETS PER BDL STACK ON PALLETS,*,LABEL: ITEM SIZE QTY,*,END USE:  TABLE COVERS,*,,,,,,,,
G21717MOONEYGEN,1734,*,GRADE:    35 LB BLEACHED KRAFT,*,COATING: WET WAX DELWRAP STYLE TO 53# FINISH,*,SIZE:    5.75 X 8" SHEETS,*,PACK:  50 LB BULK PER CTN,*,LABEL:   ITEM SIZE QTY,*,END USE: BOX LINER FOOD SEPARATER SHEETS,*,,,,,,,,
G12201 BURKE,1354,*,GRADE:     35 LB BLEACHED KRAFT,*,COATING: WET WAX DELWRAP STYLE TO 53 LB. FINISH,*,SIZE:  9 X 9" SHEETS,*,PACK: 50 LBS BULK CTNS,*,LABEL: ITEM SIZE QTY,*,END USE:  FOOD SEPARATOR,*,,,,,,,,
G11733 BORAX,1308,*,GRADE:  25 LB QUILON,*,COATING:  AS IS,*,SIZE: 15-3/8 11-3/4"  SHEETS,*,PACK:  2000 SHEETS PER F25Q1M PLAIN CTN,*,LABEL: ITEM SIZE QTY,*,END USE: BAKING SHEET,*,,,,,,,,
G21718MOONEYGEN,1735,*,ITEM:      "BANANA KING",*,GRADE: 18/20# CLEARWATER EXCEL 48" APPROVED,*,SIZE:       12X16" SHEETS,*,PACK: 1M SHEETS PER PG. 4 PGS/CARTON USE 1418-NSUB CT,*,LABEL: ITEM SIZE QTY,*,PRINT:  FLEXO PMS 368U  GREEN CYLINDER 17-3/4" #30,*,END USE: SANDWICH WRAPPER,*,,,,,,
G29010 XPEDX,1961,*,GRADE: 35 LB BLEACHED KRAFT,*,COATING:  WET WAX TO 50 LB DELWRAP STYLE,*,SIZE:  10 X 14 " SHEETS,*,PACK:  50 LBS BULK CARTONS,*,LABEL: ITEM SIZE QTY,*,END USE:  BOX LINER FOOD CONTACT,*,,,,,,,,
G19626 JOSHEN,1625,*,GRADE:    35 LB BLEACHED KRAFT,*,COATING:  WET WAX TO 53 LB FINISH DELWRAP STYLE,*,SIZE:  60" WIDTH ROLLS,*,PACK:  1 ROLL PER POLY BAG,*,LABEL: ITEM SIZE 1000 FT /RL,*,END USE:  FOOD LAYOUT SHEET,*,,,,,,,,
G12804 CENTER M,4024,*,GRADE: 30 LB OR 35 LB. MF ONLY  USE WET STRENGTH,IF AVAILABLE NO MG,*,COATING: DRY WAX TO 40 LB. FINISH,*,SIZE: 15" ROLLS,:,PACK:  1 ROLL PER PLASTIC BAG STACK ON PALLETS,*,LABEL :  CENTER MORICHES MEAT WRAP 1200 FT.,*,REWIND: 1200 FT/ RL 3" CORE,*,END USE: MEAT WRAP NUPARCH ROLL WAS APPROVED MF ONLY,,,,,,
G23159 PAPERCON,1792,*,ITEM: QF15  P/N 011015,*,GRADE: 15 LB BLEACHED KRAFT WET STRENGTH,*,WAX: DRY WAX TO 18 LB FINISH,*,SIZE:  15 X 10-3/4" INTERFOLDED SHEETS,*,PACK: PACK IN CUSTOMER'S CARTONS 12/500 12 CS PER LAY,48 CS PER SKID,*,LABEL: P/N 011015 & QUANTITY ONLY NO NORPAK PALLET TAGS,*,END USE: SANDWICH WRAP MUST TAPE,*,,,,,
G19192IMPERIALB,1543,*,GRADE:  35 LB BLEACHED KRAFT,*,COATING: WET WAX TO 50LB FINISH DELWRAP STYLE,*,SIZE: 9 X 7" SHEETS,*,PACK: 1000 SHEETS PER PKG. THEN IN MASTER CARTON,*,LABEL: ITEM SIZE QTY NO. OF 1M'S UPC # 1078787900199,*,END USE: CANDY BOX SEPARATOR SHEET,*,,,,,,,,
G19191IMPERIALB,1542,*,GRADE: 35 LB BLEACHED KRAFT,*,COATING: WET WAX TO 50# FINISH DELWRAP STYLE,*,SIZE: 7.5 X 7.5" SHEETS,*,PACK: 1000 SHEETS PER PKG THEN IN MASTER CARTONS,*,LABEL: ITEM SIZE QTY NO. OF 1M'S UPC# 1078787900198,*,END USE:  CANDY BOX SEPARATOR SHEET,*,,,,,,,,
G21675 MONTE,1716,*,ITEM:    WHITE BAKER'S BEST,*,GRADE: 25 LB BLEACHED KRAFT MAX TEAR 38 MIN MULLEN 22,*,COATING: WET WAX TO 38 LB FINISH USE GLOSSTITE FORMUL,*,SIZE:  22" WIDTH ROLLS,*,PACK: 1 ROLL PER POLY BAG     LABEL: ITEM SIZE QTY,*,PRINT: FLEXO BLUE PMS 300U CYL.#90 BLUE STRIPES ON EN,*      USE KOF-K KOSHER SYMBOL,REWIND: N-1 10-1/2" OD. 3" CORE 3.750" WALL THICKNESS,*,END USE: HEATSEALABLE BREAD WRAP,*,,,,
G21676 MONTE,1717,*,ITEM:   WHEAT BAKER'S BEST  WITH STRIPES,*,GRADE: 25 LB BLEACHED KRAFT MAX.TEAR 38 MIN MULLEN 22,*,COATING: WET WAX TO 38 LB FINISH USE GLOSSTITE FORMUL,*,SIZE: 22"WIDTH ROLLS,*,PACK: 1 ROLL PER POLY BAG,**,LABEL: ITEM SIZE QTY,*,PRINT: FLEXO BRN PMS 470U BRN STRIPES ON ENDS CYL #89,*      USE KOF-K KOSHER SYMBOL,REWIND: N-1 10-1/2"OD 3" CORE 3.750" WALL THICKNESS,*,END USE: HEAT SEALABLE BREAD WRAP,*,,
G26107 SILFEN,1900,*,GRADE:  25 LB  QUILON,*,COATING: AS IS,*,SIZE:  7.50 X 6.50" SHEETS,*,PACK: 2000 SHEETS PER PKG 8 PER CARTON,REPORT NO. OF THOUSANDS,*,LABEL: ITEM SIZE QTY,*,END USE : COOKIE SEPARATORS,,,,,,,,
G26108 SILFEN,1901,*,GRADE: 25 LB QUILON,*,COATING:  AS IS,*,SIZE: 5.25 X 8.25 SHEETS,*,PACK:    2000 SHEETS/BLD 5 BDLS PER CS,,*,LABEL: ITEM SIZE QTY.,*,END USE:  COOKIE SEPARATORS,*,,,,,,,
G19190IMPERIALB,1541,*,ITEM:    HARVEST CAFE,*,GRADE: 18 LB BLEACHED WET STRENGTH,*,COATING: DRY WAX TO 21 LB FINISH MUST TAPE,*,SIZE: 15 X 15" SHEETS,*,PACK: 1000 SHEETS PER PKG. THEN IN MASTER CTN.,*,LABEL: ITEM SIZE QTY. UPC NO. 1078787900200,*,PRINTING: FLEXO MATCH SAMPLE BROWN,*,END USE: SANDWICH WRAP,*,,,,
G19189IMPERIALB,1540,*,ITEM:   KOYZINA CAFE,*,GRADE:  35 LB WET STRENGTH BLEACHED KRAFT,*,COATING: DRY WAX TO 42 LB FINISH MUST TAPE,*,SIZE: 14 X 16 " SHEETS,*,PACK: 50 LBS PER CS BULK,*,LABEL: ITEM SIZE QTY UPC 1078787900201,*,PRINTING: FLEXO BURGANDY MATCH SAMPLE,*,END USE: SANDWICH WRAP MUST TAPE,*,,,,
G15410 FOODPAC,1444,*,GRADE:  40/45 LB POLY COATED ONE SIDE MUST BE 40/45 L,*,COATING:  AS IS,*,SIZE:13.5 X 20"SHEETS,*,PACK:  50 LBS PER CTN,*,LABEL: ITEM SIZE QTY.,*,END USE:  NOODLE WRAP,*,,,,,,,,
G19188IMPERIALB,1539,*,ITEM:         " 'WICHCRAFT",*,GRADE:25 LB.DOMTAR GREASEPROOF SAMPLES APPROVED 7-12-,*,COATING:   AS IS,*,SIZE:  14 X 14" SHEETS,*,PACK:   1000 SHEETS PER SHRINK WRAPPED PKG. 4 PER CS,USE 1414 MN CTN,*,LABEL: ITEM SIZE QTY UPC 1078787900204,*,PRINT: BLACK PMS MATCH SAMPLE YELLOW CYL NO 41&42 17.25,*,END USE: FOOD WRAP,*,,,
G14550 EZ,4032,*,GRADE:  40 LB BLEACHED KRAFT,*,COATING: AS IS,*,SIZE: 15" WIDTH ROLLS,*,PACK: 1 ROLL PER SHRINK WRAPPED PG. STACK ON SKIDS,*,LABEL:  15" WHITE BUTCHER  G14550,*,REWIND: 15" WIDTH 1000 FT/RL 3" CORE,*,END USE:  FOOD WRAP,*,,,,,,
G14551 EZ,4033,*,GRADE: 40 LB BLEACHED KRAFT,*,COATING: AS IS,*,SIZE: 15" WIDTH ROLLS,*,PACK:  SHRINK WRAP EACH ROLL STACK ON PALLETS,*,LABEL: 24" WHITE BUTCHER,*,REWIND:  24" WIDTH 1000FT/RL  3" CORE,*,END USE:  FOOD WRAP,*,,,,,,
G12218 BURKE,1362,*,ITEM:       CARL'S STEAK,*,GRADE:  35/40 LB POLY COATED ONE SIDE,*,COATING: AS IS,*,SIZE:  12 X 15" SHEETS,*,PACK:  5/10 LBS IN MCNAIRN INNERS & P-15 OUTERS,*,LABEL: "CARL'S STEAK " SIZE QTY,*,PRINT: FLEXO BLACK ON PAPER SIDE 16-3/4 CYL.# 29,*,END USE: FOOD WRAP,*,,,,
G27001 SUPERWIN,1923,*,GRADE: 40 LB ROOSEVELT OFFSET 44-5/8",*,COATING: AS IS,*,SIZE: 15" WIDTH,*,PACK: 1 ROLL SHRINK WRAPPED STACK 66 PER PALLET,*,LABEL:   15" PRECOAT,*,REWIND:  15" WIDTH 700 FT. PER ROLL 3" CORE,*,END USE: FOOD WRAP,*,,,,,,
G19186IMPERIALB,1538,*,ITEM:           TASTY CATERERS,*,GRADE: 19 LB WET STRENGTH BLEACHED KRAFT,*,COATING: DRY WAX MF SIDE TO 23 LB. FINISH MUST TAPE,*,SIZE:  15 X 10-3/4" INTERFOLDED SHEETS,*,PACK: LIGHTNING INNERS & OUTERS 12/500'S ON PALLETS,*,LABEL: ITEM SIZE QTY UPC 78787900206,*,PRINTING: FLEXO BLUE & YELLOW MATCH CUSTOMER SAMPLE,PRINT MG SIDE CLY 161 & 167     16-1/4",*,END USE: FOOD WRAP,*,,,
